t,z,a
0.30499982833862305,True,True
0.6539998054504395,True,True
1.069000005722046,True,True
1.4210000038146973,True,True
1.805999994277954,True,True
2.1649999618530273,True,True
2.6999998092651367,True,False
3.0920000076293945,False,False
3.4719998836517334,False,False
3.936999797821045,True,False
4.31499981880188,True,False
4.687999963760376,True,False
5.09499979019165,False,False
5.546999931335449,False,False
5.977999925613403,False,True
6.437999963760376,False,False
6.794999837875366,False,False
7.164999961853027,False,False
7.539999961853027,False,False
7.898000001907349,False,False
8.281999826431274,False,False
8.692999839782715,False,False
9.103999853134155,False,False
9.446999788284302,False,False
9.846999883651733,False,False
10.304999828338623,True,False
10.673999786376953,True,False
11.085999965667725,True,False
11.537999868392944,True,False
11.934999942779541,False,False
12.337999820709229,True,False
12.805999994277954,True,False
13.203999996185303,True,False
13.571999788284302,True,False
13.912999868392944,True,False
14.366999864578247,True,False
14.756999969482422,True,False
15.23199987411499,True,False
15.655999898910522,True,False
16.019999980926514,True,False
16.405999898910522,True,False
16.861999988555908,True,False
17.26099991798401,True,False
17.619999885559082,True,False
18.02999997138977,True,False
18.382999897003174,True,False
18.75599980354309,True,False
19.21399998664856,True,False
19.58399987220764,True,False
19.965999841690063,True,False
20.395999908447266,True,False
20.757999897003174,True,False
21.1729998588562,True,False
21.652999877929688,True,False
22.04699993133545,True,False
22.41100001335144,True,False
22.99899983406067,True,False
23.780999898910522,True,False
24.25599980354309,True,False
24.651999950408936,True,False
25.069999933242798,True,False
25.557999849319458,True,False
25.995999813079834,True,False
26.4469997882843,True,False
27.026000022888184,True,False
27.41599988937378,True,False
27.79699993133545,True,True
28.25599980354309,True,True
28.655999898910522,True,True
29.066999912261963,True,True
29.580999851226807,True,True
29.995999813079834,True,True
30.47699999809265,True,False
