t,z,a
0.3279998302459717,True,True
0.8469998836517334,True,True
1.2219998836517334,True,True
1.5889999866485596,True,True
2.044999837875366,True,True
2.494999885559082,True,True
2.865999937057495,True,False
3.302999973297119,False,False
3.6559998989105225,False,False
4.048999786376953,True,False
4.45199990272522,True,False
4.82099986076355,False,False
5.21399998664856,False,False
5.663999795913696,False,False
6.063999891281128,False,False
6.488999843597412,False,False
6.915999889373779,False,False
7.380999803543091,False,False
7.781999826431274,False,False
8.20799994468689,False,False
8.611999988555908,False,False
8.971999883651733,False,False
9.38099980354309,False,False
9.780999898910522,False,False
10.167999982833862,True,False
10.64299988746643,True,False
11.092000007629395,True,False
11.47599983215332,True,False
11.865999937057495,True,False
12.324999809265137,True,False
12.690999984741211,True,False
13.179999828338623,True,False
13.613999843597412,True,False
14.158999919891357,True,False
14.619999885559082,True,False
14.992999792098999,True,False
15.367999792098999,True,False
15.866999864578247,True,False
16.307999849319458,True,False
16.744999885559082,True,False
17.1729998588562,True,False
17.5719997882843,True,False
18.042999982833862,True,True
18.557999849319458,True,True
18.941999912261963,True,True
19.363999843597412,True,True
19.828999996185303,True,True
20.265999794006348,True,True
20.669999837875366,True,True
21.161999940872192,True,False
21.566999912261963,True,False
21.982999801635742,True,False
22.544999837875366,True,False
22.932999849319458,True,False
23.419999837875366,True,False
23.798999786376953,True,False
24.1969997882843,True,False
24.694999933242798,True,False
25.067999839782715,True,False
25.429999828338623,True,False
25.829999923706055,True,False
26.17899990081787,True,False
26.537999868392944,True,False
26.924999952316284,True,False
27.400999784469604,True,True
27.813999891281128,True,False
28.171000003814697,True,False
28.575999975204468,True,False
28.95899987220764,True,False
29.3439998626709,True,False
29.721999883651733,True,False
30.145999908447266,True,False
