t,z,a
0.315000057220459,True,True
0.7050001621246338,True,True
1.0500001907348633,True,True
1.4840002059936523,True,True
1.8440001010894775,True,True
2.2269999980926514,True,False
2.6600000858306885,False,False
3.013000011444092,False,True
3.383000135421753,False,True
3.818000078201294,False,False
4.2220001220703125,False,False
4.603000164031982,False,False
4.988000154495239,False,False
5.465000152587891,False,False
5.843000173568726,False,False
6.180000066757202,False,False
6.642000198364258,False,False
7.013000011444092,False,False
7.388000011444092,False,False
7.863000154495239,False,False
8.246000051498413,False,False
8.60700011253357,False,False
9.222000122070312,False,False
9.609000205993652,False,False
9.995000123977661,False,False
10.406000137329102,False,False
10.788000106811523,False,False
11.21399998664856,False,False
11.636000156402588,True,False
11.997000217437744,False,False
12.361999988555908,True,False
12.733000040054321,True,False
13.164000034332275,True,False
13.567000150680542,True,False
13.97100019454956,True,False
14.41700005531311,True,False
14.758000135421753,True,False
15.142000198364258,True,False
15.557000160217285,True,False
15.973000049591064,True,False
16.332000017166138,True,False
16.767000198364258,True,False
17.171000003814697,True,False
17.558000087738037,True,False
18.109000205993652,True,False
18.563000202178955,True,False
18.949000120162964,True,False
19.349000215530396,True,False
19.692000150680542,True,False
20.026000022888184,True,False
20.38100004196167,True,False
20.818000078201294,True,False
21.186000108718872,True,False
21.552000045776367,True,False
21.957000017166138,True,False
22.317000150680542,True,False
22.680000066757202,True,False
23.136000156402588,True,False
23.509999990463257,True,False
23.933000087738037,True,False
24.3030002117157,True,False
24.70800018310547,True,False
25.063000202178955,True,False
25.462000131607056,True,False
25.884000062942505,True,False
26.242000102996826,True,False
26.618000030517578,True,False
27.02300000190735,True,False
27.41100001335144,True,False
27.76800012588501,True,False
28.213000059127808,True,False
28.573000192642212,True,True
28.961000204086304,True,False
29.302000045776367,True,True
29.73300004005432,True,True
30.11400008201599,True,True
