t,z,a
0.30100011825561523,True,True
0.632000207901001,True,True
1.0140001773834229,True,True
1.3470001220703125,True,True
1.6720001697540283,True,True
2.0450000762939453,True,True
2.4050002098083496,True,False
2.754000186920166,False,False
3.117000102996826,False,True
3.5260000228881836,False,False
3.8930001258850098,False,False
4.243000030517578,False,False
4.640000104904175,False,False
5.766000032424927,False,False
6.218000173568726,False,False
6.576000213623047,False,True
7.013000011444092,False,True
7.447000026702881,False,False
7.805999994277954,False,False
8.212000131607056,False,False
8.6010000705719,False,False
8.980000019073486,False,False
9.36300015449524,False,False
9.794000148773193,False,False
10.165000200271606,False,False
10.519000053405762,False,False
10.896000146865845,False,False
11.269000053405762,False,False
11.636000156402588,False,False
11.979000091552734,False,True
12.33400011062622,False,True
12.729000091552734,False,True
13.086000204086304,False,True
13.461000204086304,False,False
13.823000192642212,False,False
14.174000024795532,False,False
14.51800012588501,False,False
14.915000200271606,False,False
15.25600004196167,True,False
15.746000051498413,True,False
16.122000217437744,True,False
16.49500012397766,True,False
16.8510000705719,True,False
17.20300006866455,True,False
17.627000093460083,False,False
18.099000215530396,False,False
18.430000066757202,False,False
18.79200005531311,False,False
19.199000120162964,False,False
19.677000045776367,False,False
20.129000186920166,False,False
20.453999996185303,False,False
20.84000015258789,False,False
21.17200016975403,False,False
21.538000106811523,True,False
21.889000177383423,True,False
22.23200011253357,True,False
22.5770001411438,True,False
22.94700002670288,True,False
23.269999980926514,True,False
23.605000019073486,True,False
23.996000051498413,True,False
24.360000133514404,True,False
24.7020001411438,True,False
25.051000118255615,True,False
25.453999996185303,True,True
25.79100012779236,True,True
26.118000030517578,True,True
26.526000022888184,True,True
26.86400008201599,True,True
27.205000162124634,True,True
27.594000101089478,True,True
27.945000171661377,True,True
28.323000192642212,True,True
28.680999994277954,True,True
29.064000129699707,True,False
29.417999982833862,True,False
29.759999990463257,True,False
30.125,True,False
